product_id,product_name,brand,category,ingredients,clean_label,price,discount,Average_units_sold,units_sold,average_rating,num_reviews,shelf_life,packaging_type,review_id,review_text,rating,platform,date,reviewer_location,sentiment_score,sentiment_category,transaction_id,purchase_date,quantity,price_per_unit,region,season,channel,ingredients_count,has_dates,has_cocoa,has_protein,customer_gender,age_numeric,Success
TWT_021,71% Dark Chocolate Sweetened with Dates - Pack of 3,The Whole Truth,Dark Chocolate,"Cocoa Butter, Cocoa, Almonds, Cocoa Powder",1,1047,0,882,696,3.7,193,12.0,Paper-based,REV_000007,Packaging was damaged on arrival.,2,Swiggy Instamart,2023-10-25 0:02:26,Pune,-0.85,Negative,TXN_000007,2023-10-25 0:02:26,5,1047,Pune,Festive,Social Media,4,0,1,0,1.0,55.0,1
TWT_024,Almond Millet Cocoa - Pack of 8 Millet Bars,The Whole Truth,Millet Bars,"Dates, Millet, Natural Flavoring",0,1000,0,937,870,4.2,73,12.0,Recyclable Plastic,REV_000010,Excellent protein content and no artificial flavors.,5,Flipkart,2024-02-24 11:20:38,Pune,0.43,Positive,TXN_000010,2024-02-24 11:20:38,2,1000,Pune,Winter,Website Direct,3,1,0,0,1.0,30.0,1
TWT_024,Almond Millet Cocoa - Pack of 8 Millet Bars,The Whole Truth,Millet Bars,"Dates, Millet, Natural Flavoring",0,1000,0,937,1337,4.3,60,12.0,Eco-friendly,REV_000016,Outstanding value for money and great taste.,5,Flipkart,2023-11-08 17:08:05,Pune,0.98,Positive,TXN_000016,2023-11-08 17:08:05,4,1000,Pune,Festive,Online,3,1,0,0,1.0,30.0,1
TWT_019,CREAMY- Unsweetened Peanut Butter - Pack of 325g,The Whole Truth,Peanut Butter,"Peanuts, Dates, Sea Salt",1,225,0,1000,840,4.1,35,24.0,Eco-friendly,REV_000019,Expected more from this brand.,1,Swiggy Instamart,2024-08-08 18:44:06,Pune,-0.88,Negative,TXN_000019,2024-08-08 18:44:06,1,225,Pune,Monsoon,Website Direct,3,1,0,0,0.0,21.0,1
TWT_023,Double Cocoa Mini Protein Bars - Box of 12,The Whole Truth,Mini Bars,"Protein Powder, Dates, Cocoa, Almonds",1,720,0,844,500,4.0,108,24.0,Paper-based,REV_000033,Overpriced compared to competitors.,1,Swiggy Instamart,2024-01-03 7:01:15,Pune,-0.43,Negative,TXN_000033,2024-01-03 7:01:15,2,720,Pune,Winter,Social Media,4,1,1,1,1.0,21.0,1
TWT_022,Almond Choco Fudge - Box of 10,The Whole Truth,Energy Bars,"Nuts, Dried Fruits, Seeds, Cocoa, Dates",0,750,0,622,1308,3.7,30,24.0,Paper-based,REV_000064,Perfect for my daily nutrition needs.,5,Flipkart,2024-12-02 11:24:23,Pune,0.76,Positive,TXN_000064,2024-12-02 11:24:23,1,750,Pune,Winter,Marketplace,5,1,1,0,0.0,55.0,0
TWT_011,Lemon Cranberry Protein Bars - Box of 8,The Whole Truth,Protein Bars,"Natural Flavoring, Almonds, Dates, Cocoa, Whey Protein",1,1000,0,722,604,4.4,63,18.0,Paper-based,REV_000065,Expected more from this brand.,1,Flipkart,2024-08-19 10:05:57,Pune,-0.71,Negative,TXN_000065,2024-08-19 10:05:57,3,1000,Pune,Monsoon,App,5,1,1,1,0.0,40.0,1
TWT_013,Peanut Butter Protein Bars - Box of 8,The Whole Truth,Protein Bars,"Dates, Almonds, Natural Flavoring, Cocoa, Whey Protein",0,800,0,767,205,4.5,145,24.0,Recyclable Plastic,REV_000070,Overpriced compared to competitors.,2,Nykaa,2024-11-07 12:00:40,,-0.7,Negative,TXN_000070,2024-11-07 12:00:40,3,800,Pune,Festive,App,5,1,1,1,0.0,21.0,1
TWT_022,Almond Choco Fudge - Box of 10,The Whole Truth,Energy Bars,"Nuts, Dried Fruits, Seeds, Cocoa, Dates",0,750,0,863,651,3.9,164,24.0,Eco-friendly,REV_000096,Perfect for my daily nutrition needs.,5,Amazon,2024-04-15 9:06:01,Pune,0.54,Positive,TXN_000096,2024-04-15 9:06:01,1,750,Pune,Summer,App,5,1,1,0,0.0,30.0,0
TWT_023,Double Cocoa Mini Protein Bars - Box of 12,The Whole Truth,Mini Bars,"Protein Powder, Dates, Cocoa, Almonds",0,720,0,798,1285,4.4,114,12.0,Eco-friendly,REV_000132,Perfect for my daily nutrition needs.,5,Instagram,2023-11-08 22:49:08,,0.55,Positive,TXN_000132,2023-11-08 22:49:08,2,720,Pune,Festive,Website Direct,4,1,1,1,0.0,40.0,1
